DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Greece,2021,21.70,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Greece,2023,20.02,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Spain,2021,38.06,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Spain,2023,38.65,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,European Union - 27 countries (from 2020),2021,26.46,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,European Union - 27 countries (from 2020),2023,27.32,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Finland,2021,48.13,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Finland,2023,53.63,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,France,2021,31.25,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,France,2023,30.62,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Croatia,2021,31.18,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Croatia,2023,25.00,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Hungary,2021,21.54,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Hungary,2023,28.13,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Ireland,2021,39.69,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Ireland,2023,43.82,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Iceland,2021,44.77,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Italy,2021,22.52,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Italy,2023,22.21,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Lithuania,2021,23.01,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Lithuania,2023,25.90,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Luxembourg,2021,31.81,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Luxembourg,2023,27.86,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Latvia,2021,23.79,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Latvia,2023,16.55,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Montenegro,2021,9.14,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Montenegro,2023,10.55,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,North Macedonia,2021,8.15,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Malta,2021,35.49,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Malta,2023,36.98,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Netherlands,2021,51.77,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Netherlands,2023,54.53,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Norway,2021,42.59,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Norway,2023,50.71,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Poland,2021,20.64,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Poland,2023,20.05,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Portugal,2021,28.54,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Portugal,2023,29.93,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Romania,2021,8.73,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Romania,2023,8.97,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Serbia,2021,12.32,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Serbia,2023,11.32,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Sweden,2021,35.68,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Sweden,2023,36.51,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Slovenia,2021,19.72,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Slovenia,2023,18.88,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Slovakia,2021,20.83,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Slovakia,2023,21.70,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Türkiye,2021,9.87,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Türkiye,2023,10.61,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Albania,2021,5.05,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Albania,2023,9.35,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Austria,2021,35.97,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Austria,2023,33.61,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bosnia and Herzegovina,2021,7.07,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bosnia and Herzegovina,2023,8.25,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Belgium,2021,28.38,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Belgium,2023,29.87,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bulgaria,2021,10.39,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Bulgaria,2023,9.62,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Switzerland,2021,41.02,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Switzerland,2023,43.01,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Cyprus,2021,23.08,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Cyprus,2023,27.36,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Czechia,2021,27.07,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Czechia,2023,38.55,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Germany,2021,20.61,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Germany,2023,21.40,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Denmark,2021,37.79,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Denmark,2023,39.85,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,31.46,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,31.22,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Estonia,2021,30.42,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Estonia,2023,37.39,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Greece,2021,27.64,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Greece,2023,23.55,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Spain,2021,40.53,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Spain,2023,40.50,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,European Union - 27 countries (from 2020),2021,29.73,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,European Union - 27 countries (from 2020),2023,29.88,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Finland,2021,49.77,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Finland,2023,54.90,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,France,2021,34.13,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,France,2023,32.98,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Croatia,2021,38.37,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Croatia,2023,29.98,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Hungary,2021,24.30,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Hungary,2023,30.76,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Ireland,2021,40.12,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Ireland,2023,46.98,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Iceland,2021,45.02,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Italy,2021,27.60,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Italy,2023,25.55,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Lithuania,2021,26.46,,
ESTAT:ISOC_SK_DSKL_I21$DEFAULTVIEW(1.0),17/12/24 11:00:00,Annual,All individuals,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals who used internet in the last 3 months,Lithuania,2023,29.26,,
